seed,run_date,run,target,driver,sobol_first_order
20260916,2026-09-16,por,terminal_cash_rank,pool_pressure_psi,0.000000
20260916,2026-09-16,por,terminal_cash_rank,creator_share,0.001812
20260916,2026-09-16,por,terminal_cash_rank,creator_cac_rel,0.000120
20260916,2026-09-16,por,terminal_cash_rank,pool_uk,0.000309
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_us,0.000000
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_in,0.000000
20260916,2026-09-16,por,terminal_cash_rank,pool_rel_row,0.001552
20260916,2026-09-16,por,terminal_cash_rank,acq_season_amp,0.000597
20260916,2026-09-16,por,terminal_cash_rank,seg_mix_exam,0.000000
20260916,2026-09-16,por,terminal_cash_rank,seg_mix_alevel,0.000179
20260916,2026-09-16,por,terminal_cash_rank,acq_pct_of_rev,0.001329
20260916,2026-09-16,por,terminal_cash_rank,acq_launch_ramp,0.000014
20260916,2026-09-16,por,terminal_cash_rank,shock_rho,0.000000
20260916,2026-09-16,por,terminal_cash_rank,shock_sd,0.000646
20260916,2026-09-16,por,terminal_cash_rank,school_seats,0.000604
20260916,2026-09-16,por,terminal_cash_rank,school_gbp_seat_yr,0.000000
20260916,2026-09-16,por,terminal_cash_rank,school_win_rate,0.000843
20260916,2026-09-16,por,terminal_cash_rank,school_rep_pipeline_yr,0.000000
20260916,2026-09-16,por,terminal_cash_rank,school_renewal,0.000250
20260916,2026-09-16,por,terminal_cash_rank,school_cycle_m,0.000000
20260916,2026-09-16,por,terminal_cash_rank,us_sales_tax_eff,0.000560
20260916,2026-09-16,por,terminal_cash_rank,step_entity_setup_usd,0.000000
20260916,2026-09-16,por,terminal_cash_rank,step_entity_annual_usd,0.000000
20260916,2026-09-16,por,terminal_cash_rank,step_cert_setup_usd,0.000206
20260916,2026-09-16,por,terminal_cash_rank,step_cert_annual_usd,0.000000
20260916,2026-09-16,por,terminal_cash_rank,step_uk_rep_usd_yr,0.000857
20260916,2026-09-16,por,terminal_cash_rank,step_counsel_initial_usd,0.000005
20260916,2026-09-16,por,terminal_cash_rank,step_counsel_market_usd,0.000000
20260916,2026-09-16,por,terminal_cash_rank,step_office_usd_head_yr,0.000000
20260916,2026-09-16,por,terminal_cash_rank,step_dpia_audit_usd_yr,0.000000
20260916,2026-09-16,por,peak_funding_requirement,anchor_u,0.101859
20260916,2026-09-16,por,peak_funding_requirement,price_uk_tut_gbp,0.005500
20260916,2026-09-16,por,peak_funding_requirement,price_uk_sw_gbp,0.000355
20260916,2026-09-16,por,peak_funding_requirement,price_rel_us,0.000759
20260916,2026-09-16,por,peak_funding_requirement,price_rel_in,0.000000
20260916,2026-09-16,por,peak_funding_requirement,price_rel_row,0.000155
20260916,2026-09-16,por,peak_funding_requirement,price_drift_yr,0.001040
20260916,2026-09-16,por,peak_funding_requirement,overage_price_frac,0.000043
20260916,2026-09-16,por,peak_funding_requirement,sessions_per_hh_month,0.001114
20260916,2026-09-16,por,peak_funding_requirement,sessions_cv,0.000000
20260916,2026-09-16,por,peak_funding_requirement,usage_season_amp,0.000000
20260916,2026-09-16,por,peak_funding_requirement,churn_base,0.007608
20260916,2026-09-16,por,peak_funding_requirement,churn_m1_extra,0.001333
20260916,2026-09-16,por,peak_funding_requirement,summer_lapse_pre,0.000614
20260916,2026-09-16,por,peak_funding_requirement,progress_continue,0.000566
20260916,2026-09-16,por,peak_funding_requirement,alevel_continue,0.000189
20260916,2026-09-16,por,peak_funding_requirement,alevel_exit_rate,0.000633
20260916,2026-09-16,por,peak_funding_requirement,exam_carryover,0.000000
20260916,2026-09-16,por,peak_funding_requirement,turns_per_session,0.000266
20260916,2026-09-16,por,peak_funding_requirement,tok_in_per_turn,0.000000
20260916,2026-09-16,por,peak_funding_requirement,tok_out_per_turn,0.000000
20260916,2026-09-16,por,peak_funding_requirement,price_in_mtok_usd,0.001067
20260916,2026-09-16,por,peak_funding_requirement,price_out_mtok_usd,0.000411
20260916,2026-09-16,por,peak_funding_requirement,verify_overhead,0.000000
20260916,2026-09-16,por,peak_funding_requirement,gate_fire_rate,0.000000
20260916,2026-09-16,por,peak_funding_requirement,infer_decline_yr,0.000000
20260916,2026-09-16,por,peak_funding_requirement,support_min_hh_month,0.000000
20260916,2026-09-16,por,peak_funding_requirement,support_usd_hr,0.000087
20260916,2026-09-16,por,peak_funding_requirement,pay_pct,0.000592
20260916,2026-09-16,por,peak_funding_requirement,pay_fixed_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,hosting_hh_usd,0.001011
20260916,2026-09-16,por,peak_funding_requirement,verif_cost_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,minutes_per_item,0.078201
20260916,2026-09-16,por,peak_funding_requirement,examiner_rate_gbp_hr,0.042500
20260916,2026-09-16,por,peak_funding_requirement,writer_gbp_item,0.081025
20260916,2026-09-16,por,peak_funding_requirement,items_per_unit,0.161680
20260916,2026-09-16,por,peak_funding_requirement,board_reuse,0.065975
20260916,2026-09-16,por,peak_funding_requirement,market_reuse,0.018311
20260916,2026-09-16,por,peak_funding_requirement,reval_frac_yr,0.011676
20260916,2026-09-16,por,peak_funding_requirement,eng_usd_yr,0.029824
20260916,2026-09-16,por,peak_funding_requirement,uk_gbp_yr,0.002579
20260916,2026-09-16,por,peak_funding_requirement,overhead_mult,0.003807
20260916,2026-09-16,por,peak_funding_requirement,units_per_content_head,0.016093
20260916,2026-09-16,por,peak_funding_requirement,eng_ramp_mult,0.004598
20260916,2026-09-16,por,peak_funding_requirement,cac_anchor_usd,0.107696
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_us,0.000660
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_in,0.000112
20260916,2026-09-16,por,peak_funding_requirement,cac_rel_row,0.000287
20260916,2026-09-16,por,peak_funding_requirement,sat_kappa,0.005918
20260916,2026-09-16,por,peak_funding_requirement,cac_ref_spend_usd,0.023783
20260916,2026-09-16,por,peak_funding_requirement,pool_pressure_psi,0.000000
20260916,2026-09-16,por,peak_funding_requirement,creator_share,0.002389
20260916,2026-09-16,por,peak_funding_requirement,creator_cac_rel,0.000000
20260916,2026-09-16,por,peak_funding_requirement,pool_uk,0.000276
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_us,0.000000
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_in,0.000000
20260916,2026-09-16,por,peak_funding_requirement,pool_rel_row,0.001265
20260916,2026-09-16,por,peak_funding_requirement,acq_season_amp,0.000869
20260916,2026-09-16,por,peak_funding_requirement,seg_mix_exam,0.000000
20260916,2026-09-16,por,peak_funding_requirement,seg_mix_alevel,0.000000
20260916,2026-09-16,por,peak_funding_requirement,acq_pct_of_rev,0.001337
20260916,2026-09-16,por,peak_funding_requirement,acq_launch_ramp,0.000117
20260916,2026-09-16,por,peak_funding_requirement,shock_rho,0.000000
20260916,2026-09-16,por,peak_funding_requirement,shock_sd,0.000552
20260916,2026-09-16,por,peak_funding_requirement,school_seats,0.000652
20260916,2026-09-16,por,peak_funding_requirement,school_gbp_seat_yr,0.000000
20260916,2026-09-16,por,peak_funding_requirement,school_win_rate,0.001075
20260916,2026-09-16,por,peak_funding_requirement,school_rep_pipeline_yr,0.000000
20260916,2026-09-16,por,peak_funding_requirement,school_renewal,0.000000
20260916,2026-09-16,por,peak_funding_requirement,school_cycle_m,0.000034
20260916,2026-09-16,por,peak_funding_requirement,us_sales_tax_eff,0.000627
20260916,2026-09-16,por,peak_funding_requirement,step_entity_setup_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,step_entity_annual_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,step_cert_setup_usd,0.000376
20260916,2026-09-16,por,peak_funding_requirement,step_cert_annual_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,step_uk_rep_usd_yr,0.000935
20260916,2026-09-16,por,peak_funding_requirement,step_counsel_initial_usd,0.000000
20260916,2026-09-16,por,peak_funding_requirement,step_counsel_market_usd,0.000013
20260916,2026-09-16,por,peak_funding_requirement,step_office_usd_head_yr,0.000000
20260916,2026-09-16,por,peak_funding_requirement,step_dpia_audit_usd_yr,0.000000
20260916,2026-09-16,por,reaches_profitability,anchor_u,0.162146
20260916,2026-09-16,por,reaches_profitability,price_uk_tut_gbp,0.010467
20260916,2026-09-16,por,reaches_profitability,price_uk_sw_gbp,0.001192
20260916,2026-09-16,por,reaches_profitability,price_rel_us,0.001405
20260916,2026-09-16,por,reaches_profitability,price_rel_in,0.000000
20260916,2026-09-16,por,reaches_profitability,price_rel_row,0.001047
20260916,2026-09-16,por,reaches_profitability,price_drift_yr,0.003559
20260916,2026-09-16,por,reaches_profitability,overage_price_frac,0.002167
20260916,2026-09-16,por,reaches_profitability,sessions_per_hh_month,0.003708
20260916,2026-09-16,por,reaches_profitability,sessions_cv,0.000000
20260916,2026-09-16,por,reaches_profitability,usage_season_amp,0.000000
20260916,2026-09-16,por,reaches_profitability,churn_base,0.012900
20260916,2026-09-16,por,reaches_profitability,churn_m1_extra,0.003416
20260916,2026-09-16,por,reaches_profitability,summer_lapse_pre,0.000000
20260916,2026-09-16,por,reaches_profitability,progress_continue,0.000003
20260916,2026-09-16,por,reaches_profitability,alevel_continue,0.000453
20260916,2026-09-16,por,reaches_profitability,alevel_exit_rate,0.001049
20260916,2026-09-16,por,reaches_profitability,exam_carryover,0.000246
20260916,2026-09-16,por,reaches_profitability,turns_per_session,0.000014
20260916,2026-09-16,por,reaches_profitability,tok_in_per_turn,0.000000
20260916,2026-09-16,por,reaches_profitability,tok_out_per_turn,0.000000
20260916,2026-09-16,por,reaches_profitability,price_in_mtok_usd,0.000000
20260916,2026-09-16,por,reaches_profitability,price_out_mtok_usd,0.000320
20260916,2026-09-16,por,reaches_profitability,verify_overhead,0.000000
20260916,2026-09-16,por,reaches_profitability,gate_fire_rate,0.000000
20260916,2026-09-16,por,reaches_profitability,infer_decline_yr,0.000000
20260916,2026-09-16,por,reaches_profitability,support_min_hh_month,0.000412
20260916,2026-09-16,por,reaches_profitability,support_usd_hr,0.000222
20260916,2026-09-16,por,reaches_profitability,pay_pct,0.000000
20260916,2026-09-16,por,reaches_profitability,pay_fixed_usd,0.000350
20260916,2026-09-16,por,reaches_profitability,hosting_hh_usd,0.000306
20260916,2026-09-16,por,reaches_profitability,verif_cost_usd,0.000166
20260916,2026-09-16,por,reaches_profitability,minutes_per_item,0.000705
20260916,2026-09-16,por,reaches_profitability,examiner_rate_gbp_hr,0.000214
20260916,2026-09-16,por,reaches_profitability,writer_gbp_item,0.000355
20260916,2026-09-16,por,reaches_profitability,items_per_unit,0.000933
20260916,2026-09-16,por,reaches_profitability,board_reuse,0.000394
20260916,2026-09-16,por,reaches_profitability,market_reuse,0.000979
20260916,2026-09-16,por,reaches_profitability,reval_frac_yr,0.001442
20260916,2026-09-16,por,reaches_profitability,eng_usd_yr,0.001035
20260916,2026-09-16,por,reaches_profitability,uk_gbp_yr,0.000263
20260916,2026-09-16,por,reaches_profitability,overhead_mult,0.000000
20260916,2026-09-16,por,reaches_profitability,units_per_content_head,0.000866
20260916,2026-09-16,por,reaches_profitability,eng_ramp_mult,0.000412
20260916,2026-09-16,por,reaches_profitability,cac_anchor_usd,0.220004
20260916,2026-09-16,por,reaches_profitability,cac_rel_us,0.003261
20260916,2026-09-16,por,reaches_profitability,cac_rel_in,0.000141
20260916,2026-09-16,por,reaches_profitability,cac_rel_row,0.000246
20260916,2026-09-16,por,reaches_profitability,sat_kappa,0.016872
20260916,2026-09-16,por,reaches_profitability,cac_ref_spend_usd,0.046324
20260916,2026-09-16,por,reaches_profitability,pool_pressure_psi,0.000123
20260916,2026-09-16,por,reaches_profitability,creator_share,0.003359
20260916,2026-09-16,por,reaches_profitability,creator_cac_rel,0.003127
20260916,2026-09-16,por,reaches_profitability,pool_uk,0.000591
20260916,2026-09-16,por,reaches_profitability,pool_rel_us,0.000094
